"id","nama_jalan","foto_path","latitude","longitude","created_at","statuslaporan"
"34","Jl. Raya Pasaleman KM 1 Segmen 2","uploads/laporan_cirebon_0033.jpg","-6.5757716","108.778887","2023-09-16 15:31:39","diperbaiki"
"35","Jl. Raya Karangsembung KM 7 Segmen 7","uploads/laporan_cirebon_0034.jpg","-6.584145","108.4573794","2023-01-04 15:21:29","ditolak"
"36","Jl. Raya Gebang KM 15 Segmen 5","uploads/laporan_cirebon_0035.jpg","-6.7519474","108.8299393","2025-05-13 15:32:41","selesai"
"37","Jl. Raya Sedong KM 5 Segmen 4","uploads/laporan_cirebon_0036.jpg","-6.7961523","108.8352934","2025-06-19 00:24:22","selesai"
"38","Jl. Cipto Mangunkusumo KM 24 Segmen 6","uploads/laporan_cirebon_0037.jpg","-6.8799922","108.6545635","2025-02-20 10:37:15","ditolak"
"39","Jl. Raya Waled KM 6 Segmen 1","uploads/laporan_cirebon_0038.jpg","-6.5637274","108.4176524","2023-10-16 23:03:24","diterima"
"40","Jl. Fatahillah KM 22 Segmen 4","uploads/laporan_cirebon_0039.jpg","-6.7586786","108.8225502","2025-06-04 06:02:19","diterima"
"41","Jl. Raya Gunung Jati KM 2 Segmen 2","uploads/laporan_cirebon_0040.jpg","-6.7532713","108.654326","2025-03-23 09:45:08","diterima"
"42","Jl. Raya Gebang KM 7 Segmen 6","uploads/laporan_cirebon_0041.jpg","-6.8164599","108.5660193","2025-11-09 17:25:35","selesai"
"43","Jl. Raya Pangenan KM 11 Segmen 2","uploads/laporan_cirebon_0042.jpg","-6.8967396","108.6719449","2025-05-24 20:55:27","ditolak"
"44","Jl. Fatahillah KM 18 Segmen 4","uploads/laporan_cirebon_0043.jpg","-6.7229404","108.4422546","2024-06-26 10:59:32","selesai"
"45","Jl. Raya Losari KM 12 Segmen 5","uploads/laporan_cirebon_0044.jpg","-6.8447886","108.7718601","2025-12-29 04:52:10","diterima"
"46","Jl. Raya Waled KM 1 Segmen 5","uploads/laporan_cirebon_0045.jpg","-6.5738854","108.4286857","2023-07-28 21:44:08","diterima"
"47","Jl. Sunan Gunung Jati KM 24 Segmen 3","uploads/laporan_cirebon_0046.jpg","-6.8046781","108.66427","2024-06-16 22:30:13","diterima"
"48","Jl. Raya Gebang KM 17 Segmen 8","uploads/laporan_cirebon_0047.jpg","-6.8121076","108.8068348","2023-03-21 04:55:12","diterima"
"49","Jl. Raya Astanajapura KM 9 Segmen 1","uploads/laporan_cirebon_0048.jpg","-6.898759","108.742426","2025-09-17 00:18:29","ditolak"
"50","Jl. Raya Plered KM 24 Segmen 8","uploads/laporan_cirebon_0049.jpg","-6.7069119","108.5810129","2023-01-16 07:30:45","diterima"
"51","Jl. Raya Weru KM 18 Segmen 1","uploads/laporan_cirebon_0050.jpg","-6.6078917","108.6537795","2023-08-19 08:20:11","diperbaiki"
"52","Jl. Siliwangi KM 10 Segmen 6","uploads/laporan_cirebon_0051.jpg","-6.5853565","108.7541775","2023-03-04 06:23:19","selesai"
"53","Jl. Raya Ciledug KM 22 Segmen 4","uploads/laporan_cirebon_0052.jpg","-6.6665733","108.546229","2025-05-20 00:58:13","selesai"
"54","Jl. Raya Kapetakan KM 20 Segmen 3","uploads/laporan_cirebon_0053.jpg","-6.5759827","108.4912665","2023-09-10 17:30:17","ditolak"
"55","Jl. Raya Arjawinangun KM 14 Segmen 1","uploads/laporan_cirebon_0054.jpg","-6.8372238","108.814509","2024-10-01 20:46:45","selesai"
"56","Jl. Raya Losari KM 9 Segmen 3","uploads/laporan_cirebon_0055.jpg","-6.6244189","108.4308049","2023-03-02 10:45:28","selesai"
"57","Jl. Raya Babakan KM 7 Segmen 8","uploads/laporan_cirebon_0056.jpg","-6.7776196","108.7656521","2023-12-20 20:22:29","diterima"
"58","Jl. Raya Palimanan KM 13 Segmen 6","uploads/laporan_cirebon_0057.jpg","-6.8024889","108.4126278","2024-03-09 21:32:02","diperbaiki"
"59","Jl. Raya Greged KM 13 Segmen 6","uploads/laporan_cirebon_0058.jpg","-6.571267","108.4342106","2024-02-11 01:48:30","diterima"
"60","Jl. Raya Gebang KM 2 Segmen 2","uploads/laporan_cirebon_0059.jpg","-6.6912001","108.5424729","2024-05-02 13:44:16","diperbaiki"
"61","Jl. Raya Greged KM 4 Segmen 7","uploads/laporan_cirebon_0060.jpg","-6.5851733","108.469337","2023-03-11 05:50:59","selesai"
"62","Jl. Tuparev KM 17 Segmen 4","uploads/laporan_cirebon_0061.jpg","-6.7725225","108.4128877","2025-10-29 03:34:32","ditolak"
"63","Jl. Raya Suranenggala KM 11 Segmen 2","uploads/laporan_cirebon_0062.jpg","-6.648086","108.5211515","2024-04-25 17:58:04","selesai"
"64","Jl. Raya Kedawung KM 13 Segmen 5","uploads/laporan_cirebon_0063.jpg","-6.7059556","108.4701648","2025-10-30 05:21:57","ditolak"
"65","Jl. Raya Arjawinangun KM 20 Segmen 5","uploads/laporan_cirebon_0064.jpg","-6.7578737","108.7718508","2024-04-17 08:16:45","diterima"
"66","Jl. Raya Astanajapura KM 19 Segmen 6","uploads/laporan_cirebon_0065.jpg","-6.7372541","108.5878151","2023-11-29 06:21:56","diperbaiki"
"67","Jl. Raya Plered KM 22 Segmen 2","uploads/laporan_cirebon_0066.jpg","-6.8006748","108.6920113","2025-08-20 06:42:58","diterima"
"68","Jl. Raya Losari KM 22 Segmen 5","uploads/laporan_cirebon_0067.jpg","-6.8213758","108.4735911","2023-02-08 05:38:40","diterima"
"69","Jl. Raya Karangsembung KM 20 Segmen 2","uploads/laporan_cirebon_0068.jpg","-6.7406043","108.7964843","2025-06-13 13:34:00","diterima"
"70","Jl. Raya Susukan KM 16 Segmen 7","uploads/laporan_cirebon_0069.jpg","-6.8146054","108.6883473","2023-01-09 21:43:32","selesai"
"71","Jl. Sunan Gunung Jati KM 25 Segmen 7","uploads/laporan_cirebon_0070.jpg","-6.8234056","108.7579316","2025-12-17 08:28:17","diperbaiki"
"72","Jl. Cipto Mangunkusumo KM 18 Segmen 4","uploads/laporan_cirebon_0071.jpg","-6.5788855","108.4370385","2023-07-27 10:14:31","selesai"
"73","Jl. Raya Waled KM 18 Segmen 6","uploads/laporan_cirebon_0072.jpg","-6.5674861","108.7989702","2025-08-10 00:20:02","selesai"
"74","Jl. Raya Greged KM 14 Segmen 8","uploads/laporan_cirebon_0073.jpg","-6.5859772","108.7295181","2025-01-07 16:08:44","diperbaiki"
"75","Jl. Raya Losari KM 21 Segmen 5","uploads/laporan_cirebon_0074.jpg","-6.6319652","108.6250109","2025-08-31 21:52:31","diterima"
"76","Jl. Raya Mundu KM 3 Segmen 5","uploads/laporan_cirebon_0075.jpg","-6.8179272","108.5378483","2025-04-19 09:20:04","diterima"
"77","Jl. Raya Weru KM 8 Segmen 7","uploads/laporan_cirebon_0076.jpg","-6.6571176","108.712017","2023-04-11 01:37:30","diperbaiki"
"78","Jl. Raya Klangenan KM 18 Segmen 8","uploads/laporan_cirebon_0077.jpg","-6.754479","108.4772122","2024-10-14 23:05:08","diperbaiki"
"79","Jl. Raya Tengah Tani KM 23 Segmen 1","uploads/laporan_cirebon_0078.jpg","-6.6001438","108.7398295","2024-08-14 04:37:57","diperbaiki"
"80","Jl. Raya Jamblang KM 10 Segmen 7","uploads/laporan_cirebon_0079.jpg","-6.6012932","108.8281123","2024-10-13 05:14:44","diperbaiki"
"81","Jl. Raya Pasaleman KM 20 Segmen 4","uploads/laporan_cirebon_0080.jpg","-6.7291197","108.5082796","2025-01-24 17:02:45","diterima"
"82","Jl. Raya Klangenan KM 22 Segmen 7","uploads/laporan_cirebon_0081.jpg","-6.6465365","108.7750377","2023-07-18 13:18:32","ditolak"
"83","Jl. Raya Pasaleman KM 1 Segmen 7","uploads/laporan_cirebon_0082.jpg","-6.6928375","108.6916099","2023-05-11 16:47:17","selesai"
"84","Jl. Raya Sumber KM 15 Segmen 3","uploads/laporan_cirebon_0083.jpg","-6.8824004","108.5581788","2023-11-26 02:16:02","diperbaiki"
"85","Jl. Raya Klangenan KM 25 Segmen 7","uploads/laporan_cirebon_0084.jpg","-6.8026102","108.8270659","2024-10-17 04:04:33","diterima"
"86","Jl. Pangeran Cakrabuana KM 16 Segmen 1","uploads/laporan_cirebon_0085.jpg","-6.6378415","108.4044802","2024-06-27 22:28:02","diterima"
"87","Jl. Fatahillah KM 25 Segmen 1","uploads/laporan_cirebon_0086.jpg","-6.6360184","108.8263175","2023-11-06 23:42:17","selesai"
"88","Jl. Raya Suranenggala KM 5 Segmen 4","uploads/laporan_cirebon_0087.jpg","-6.8558227","108.6946457","2025-05-26 09:18:35","ditolak"
"89","Jl. Raya Pangenan KM 23 Segmen 5","uploads/laporan_cirebon_0088.jpg","-6.6315857","108.4588609","2025-08-01 14:49:38","ditolak"
"90","Jl. Raya Plumbon KM 25 Segmen 3","uploads/laporan_cirebon_0089.jpg","-6.5623477","108.4308064","2023-02-10 04:21:39","ditolak"
"91","Jl. Raya Pabuaran KM 22 Segmen 7","uploads/laporan_cirebon_0090.jpg","-6.7611709","108.7160569","2023-04-29 08:21:14","diperbaiki"
"92","Jl. Raya Losari KM 4 Segmen 5","uploads/laporan_cirebon_0091.jpg","-6.6023974","108.6621935","2023-07-08 08:15:35","selesai"
"93","Jl. Raya Pabuaran KM 2 Segmen 6","uploads/laporan_cirebon_0092.jpg","-6.7135392","108.690915","2023-04-18 09:53:36","diperbaiki"
"94","Jl. Raya Klangenan KM 1 Segmen 7","uploads/laporan_cirebon_0093.jpg","-6.6121842","108.4296033","2024-07-16 22:20:55","selesai"
"95","Jl. Raya Pangenan KM 23 Segmen 3","uploads/laporan_cirebon_0094.jpg","-6.7475795","108.7248838","2025-10-07 17:48:36","diterima"
"96","Jl. Raya Pasaleman KM 25 Segmen 8","uploads/laporan_cirebon_0095.jpg","-6.7372942","108.7680953","2025-07-09 16:03:17","diterima"
"97","Jl. Raya Losari KM 3 Segmen 5","uploads/laporan_cirebon_0096.jpg","-6.5914291","108.4946158","2024-12-23 04:35:14","diperbaiki"
"98","Jl. Raya Susukan KM 11 Segmen 1","uploads/laporan_cirebon_0097.jpg","-6.7269927","108.5327567","2025-01-27 16:10:44","diterima"
"99","Jl. Raya Gebang KM 11 Segmen 5","uploads/laporan_cirebon_0098.jpg","-6.591888","108.7095564","2024-03-05 11:02:20","diperbaiki"
"100","Jl. Raya Waled KM 7 Segmen 2","uploads/laporan_cirebon_0099.jpg","-6.8155254","108.5710212","2025-05-12 17:28:09","selesai"
"101","Jl. Raya Karangsembung KM 21 Segmen 8","uploads/laporan_cirebon_0100.jpg","-6.7431389","108.3881043","2024-04-02 08:53:51","diterima"
"102","Jl. Raya Losari KM 10 Segmen 6","uploads/laporan_cirebon_0101.jpg","-6.7343588","108.6295333","2024-10-23 06:55:54","ditolak"
"103","Jl. Raya Pabedilan KM 11 Segmen 6","uploads/laporan_cirebon_0102.jpg","-6.6540008","108.5073307","2024-01-26 20:00:30","diterima"
"104","Jl. Raya Palimanan KM 11 Segmen 2","uploads/laporan_cirebon_0103.jpg","-6.6399916","108.8269125","2025-12-08 10:09:44","diterima"
"105","Jl. Raya Ciledug KM 24 Segmen 8","uploads/laporan_cirebon_0104.jpg","-6.8032251","108.6571058","2025-03-26 06:52:48","diperbaiki"
"106","Jl. Sunan Gunung Jati KM 7 Segmen 5","uploads/laporan_cirebon_0105.jpg","-6.8203809","108.4643375","2023-01-23 06:29:21","selesai"
"107","Jl. Raya Sumber KM 9 Segmen 1","uploads/laporan_cirebon_0106.jpg","-6.5589968","108.6400787","2025-12-19 16:36:17","ditolak"
"108","Jl. Raya Sedong KM 4 Segmen 1","uploads/laporan_cirebon_0107.jpg","-6.6990775","108.6006166","2024-11-15 12:52:01","diterima"
"109","Jl. Cipto Mangunkusumo KM 9 Segmen 8","uploads/laporan_cirebon_0108.jpg","-6.8600695","108.4107114","2025-02-03 04:38:26","diterima"
"110","Jl. Cipto Mangunkusumo KM 5 Segmen 3","uploads/laporan_cirebon_0109.jpg","-6.6161003","108.8260891","2023-05-13 14:46:27","ditolak"
"111","Jl. Raya Plumbon KM 18 Segmen 7","uploads/laporan_cirebon_0110.jpg","-6.6877888","108.7516482","2023-12-17 21:13:34","selesai"
"112","Jl. Raya Susukan KM 15 Segmen 8","uploads/laporan_cirebon_0111.jpg","-6.7959264","108.6566068","2024-10-28 10:56:06","diterima"
"113","Jl. Raya Suranenggala KM 2 Segmen 2","uploads/laporan_cirebon_0112.jpg","-6.5683434","108.4776603","2023-11-25 02:35:22","diterima"
"114","Jl. Pangeran Cakrabuana KM 6 Segmen 4","uploads/laporan_cirebon_0113.jpg","-6.8391653","108.4152805","2023-01-05 10:45:29","diperbaiki"
"115","Jl. Raya Gunung Jati KM 16 Segmen 5","uploads/laporan_cirebon_0114.jpg","-6.8885761","108.5154093","2024-03-15 11:30:17","selesai"
"116","Jl. Raya Pangenan KM 3 Segmen 4","uploads/laporan_cirebon_0115.jpg","-6.5766311","108.7502792","2025-08-29 06:51:05","diperbaiki"
"117","Jl. Raya Palimanan KM 14 Segmen 2","uploads/laporan_cirebon_0116.jpg","-6.7094032","108.6843883","2024-02-17 22:29:46","selesai"
"118","Jl. Fatahillah KM 2 Segmen 3","uploads/laporan_cirebon_0117.jpg","-6.62258","108.6596707","2025-06-03 12:34:36","ditolak"
"119","Jl. Raya Mundu KM 4 Segmen 8","uploads/laporan_cirebon_0118.jpg","-6.6589627","108.7088748","2024-02-28 05:04:25","diperbaiki"
"120","Jl. Raya Sedong KM 15 Segmen 2","uploads/laporan_cirebon_0119.jpg","-6.6906872","108.7980288","2024-05-16 00:01:10","selesai"
"121","Jl. Kartini KM 3 Segmen 4","uploads/laporan_cirebon_0120.jpg","-6.5633311","108.7729005","2025-06-12 19:58:37","diperbaiki"
"122","Jl. Kartini KM 25 Segmen 5","uploads/laporan_cirebon_0121.jpg","-6.6983136","108.7386612","2023-09-30 10:35:01","diperbaiki"
"123","Jl. Raya Mundu KM 9 Segmen 3","uploads/laporan_cirebon_0122.jpg","-6.5510691","108.5848659","2025-02-03 03:51:59","ditolak"
"124","Jl. Raya Karangsembung KM 12 Segmen 7","uploads/laporan_cirebon_0123.jpg","-6.7833421","108.6949627","2023-09-08 02:59:06","diterima"
"125","Jl. Raya Sedong KM 10 Segmen 7","uploads/laporan_cirebon_0124.jpg","-6.6152519","108.6385454","2024-12-07 20:08:20","diterima"
"126","Jl. Raya Gebang KM 11 Segmen 2","uploads/laporan_cirebon_0125.jpg","-6.5604353","108.5699623","2025-03-10 16:32:19","selesai"
"127","Jl. Tuparev KM 22 Segmen 8","uploads/laporan_cirebon_0126.jpg","-6.7553634","108.4681638","2024-07-16 07:06:43","selesai"
"128","Jl. Raya Sedong KM 21 Segmen 8","uploads/laporan_cirebon_0127.jpg","-6.6340033","108.4756724","2025-05-03 11:23:32","diterima"
"129","Jl. Raya Beber KM 15 Segmen 8","uploads/laporan_cirebon_0128.jpg","-6.8575009","108.837379","2025-08-04 03:22:51","selesai"
"130","Jl. Raya Plered KM 10 Segmen 1","uploads/laporan_cirebon_0129.jpg","-6.706712","108.4238083","2023-06-26 13:08:13","diperbaiki"
"131","Jl. Raya Plumbon KM 21 Segmen 3","uploads/laporan_cirebon_0130.jpg","-6.7255686","108.7168036","2025-03-01 19:07:25","selesai"
"132","Jl. Raya Kapetakan KM 16 Segmen 8","uploads/laporan_cirebon_0131.jpg","-6.8146942","108.6390946","2024-08-19 04:07:23","diterima"
"133","Jl. Raya Gunung Jati KM 17 Segmen 3","uploads/laporan_cirebon_0132.jpg","-6.5975906","108.5098363","2024-10-06 21:10:29","diterima"
"134","Jl. Raya Greged KM 9 Segmen 1","uploads/laporan_cirebon_0133.jpg","-6.8010064","108.5203212","2025-07-01 01:37:27","diperbaiki"
"135","Jl. Raya Sedong KM 5 Segmen 8","uploads/laporan_cirebon_0134.jpg","-6.7114968","108.5422083","2025-05-07 15:58:21","selesai"
"136","Jl. Raya Susukan KM 15 Segmen 6","uploads/laporan_cirebon_0135.jpg","-6.5956394","108.8409641","2024-01-07 06:18:57","diperbaiki"
"137","Jl. Raya Babakan KM 25 Segmen 7","uploads/laporan_cirebon_0136.jpg","-6.8847234","108.7300114","2024-08-15 12:19:38","diperbaiki"
"138","Jl. Raya Weru KM 16 Segmen 1","uploads/laporan_cirebon_0137.jpg","-6.8558138","108.8337162","2024-05-31 00:39:34","selesai"
"139","Jl. Raya Mundu KM 4 Segmen 8","uploads/laporan_cirebon_0138.jpg","-6.8946283","108.447753","2025-10-14 11:01:01","ditolak"
"140","Jl. Fatahillah KM 16 Segmen 5","uploads/laporan_cirebon_0139.jpg","-6.7815036","108.7055712","2025-10-06 18:39:59","diterima"
"141","Jl. Raya Klangenan KM 22 Segmen 7","uploads/laporan_cirebon_0140.jpg","-6.5660511","108.6745956","2025-01-28 07:00:02","selesai"
"142","Jl. Siliwangi KM 20 Segmen 2","uploads/laporan_cirebon_0141.jpg","-6.8178304","108.7016678","2024-03-22 17:15:56","ditolak"
"143","Jl. Pangeran Cakrabuana KM 14 Segmen 2","uploads/laporan_cirebon_0142.jpg","-6.6338706","108.7108287","2023-06-06 10:10:53","diperbaiki"
"144","Jl. Raya Talun KM 1 Segmen 1","uploads/laporan_cirebon_0143.jpg","-6.7864689","108.406376","2024-07-11 03:28:55","diperbaiki"
"145","Jl. Raya Weru KM 8 Segmen 7","uploads/laporan_cirebon_0144.jpg","-6.7019252","108.7524842","2023-09-22 08:26:59","diterima"
"146","Jl. Raya Suranenggala KM 13 Segmen 4","uploads/laporan_cirebon_0145.jpg","-6.7258165","108.6540839","2023-12-27 23:36:45","diperbaiki"
"147","Jl. Raya Gebang KM 15 Segmen 5","uploads/laporan_cirebon_0146.jpg","-6.6666057","108.802487","2024-12-24 00:53:54","ditolak"
"148","Jl. Raya Pasaleman KM 6 Segmen 2","uploads/laporan_cirebon_0147.jpg","-6.7453946","108.5424158","2025-07-02 01:15:39","diterima"
"149","Jl. Raya Astanajapura KM 23 Segmen 5","uploads/laporan_cirebon_0148.jpg","-6.7401075","108.5219972","2024-08-20 21:24:13","selesai"
"150","Jl. Sunan Gunung Jati KM 8 Segmen 7","uploads/laporan_cirebon_0149.jpg","-6.6998271","108.6501616","2025-12-22 14:00:49","diterima"
"151","Jl. Raya Gegesik KM 9 Segmen 1","uploads/laporan_cirebon_0150.jpg","-6.7019248","108.7023258","2023-03-18 11:30:07","ditolak"
"152","Jl. Raya Sedong KM 10 Segmen 4","uploads/laporan_cirebon_0151.jpg","-6.6875273","108.5455908","2025-09-16 05:50:05","diterima"
"153","Jl. Raya Gebang KM 22 Segmen 3","uploads/laporan_cirebon_0152.jpg","-6.6801132","108.8045997","2025-10-01 08:19:28","diterima"
"154","Jl. Raya Mundu KM 2 Segmen 6","uploads/laporan_cirebon_0153.jpg","-6.6436741","108.4223627","2024-04-03 17:30:54","diterima"
"155","Jl. Raya Kapetakan KM 6 Segmen 4","uploads/laporan_cirebon_0154.jpg","-6.8537441","108.6335216","2024-07-22 15:09:26","diperbaiki"
"156","Jl. Raya Lemahabang KM 6 Segmen 5","uploads/laporan_cirebon_0155.jpg","-6.5800829","108.8237683","2024-04-03 18:40:14","selesai"
"157","Jl. Raya Klangenan KM 4 Segmen 8","uploads/laporan_cirebon_0156.jpg","-6.5629873","108.4461558","2023-12-17 18:31:31","selesai"
"158","Jl. Raya Gegesik KM 18 Segmen 6","uploads/laporan_cirebon_0157.jpg","-6.868394","108.56545","2024-02-16 02:43:49","diperbaiki"
"159","Jl. Raya Pangenan KM 12 Segmen 5","uploads/laporan_cirebon_0158.jpg","-6.695404","108.7665361","2024-07-31 08:32:28","diterima"
"160","Jl. Raya Babakan KM 16 Segmen 1","uploads/laporan_cirebon_0159.jpg","-6.6831586","108.8232895","2024-05-24 19:57:37","ditolak"
"161","Jl. Raya Babakan KM 21 Segmen 2","uploads/laporan_cirebon_0160.jpg","-6.6776086","108.5982057","2025-12-25 09:03:04","diterima"
"162","Jl. Raya Kapetakan KM 4 Segmen 3","uploads/laporan_cirebon_0161.jpg","-6.8841286","108.3974897","2025-02-04 13:22:37","diterima"
"163","Jl. Raya Losari KM 18 Segmen 3","uploads/laporan_cirebon_0162.jpg","-6.763974","108.5543754","2025-12-18 05:48:18","ditolak"
"164","Jl. Raya Kapetakan KM 19 Segmen 3","uploads/laporan_cirebon_0163.jpg","-6.5901052","108.6878133","2025-01-30 11:10:47","selesai"
"165","Jl. Raya Lemahabang KM 2 Segmen 6","uploads/laporan_cirebon_0164.jpg","-6.8239556","108.5890071","2024-01-03 01:55:01","selesai"
"166","Jl. Sunan Gunung Jati KM 22 Segmen 6","uploads/laporan_cirebon_0165.jpg","-6.7094369","108.839586","2024-07-11 11:19:48","diterima"
"167","Jl. Raya Lemahabang KM 7 Segmen 2","uploads/laporan_cirebon_0166.jpg","-6.5678462","108.7673698","2023-05-23 16:49:58","selesai"
"168","Jl. Raya Gunung Jati KM 1 Segmen 1","uploads/laporan_cirebon_0167.jpg","-6.6246219","108.4944774","2023-07-15 21:46:57","selesai"
"169","Jl. Raya Ciledug KM 3 Segmen 4","uploads/laporan_cirebon_0168.jpg","-6.6947659","108.7621349","2023-12-29 05:49:13","diterima"
"170","Jl. Raya Weru KM 20 Segmen 1","uploads/laporan_cirebon_0169.jpg","-6.8029538","108.8424932","2023-07-22 05:27:28","diperbaiki"
"171","Jl. Raya Arjawinangun KM 4 Segmen 1","uploads/laporan_cirebon_0170.jpg","-6.8538689","108.5483739","2024-01-05 21:43:59","diperbaiki"
"172","Jl. Kartini KM 6 Segmen 5","uploads/laporan_cirebon_0171.jpg","-6.8816603","108.7286075","2025-03-28 12:53:24","diterima"
"173","Jl. Fatahillah KM 16 Segmen 8","uploads/laporan_cirebon_0172.jpg","-6.627694","108.6212218","2023-06-19 16:49:41","diperbaiki"
"174","Jl. Raya Babakan KM 20 Segmen 1","uploads/laporan_cirebon_0173.jpg","-6.645465","108.8071133","2025-10-20 20:41:13","diperbaiki"
"175","Jl. Raya Pangenan KM 21 Segmen 1","uploads/laporan_cirebon_0174.jpg","-6.8787111","108.6051215","2024-09-16 04:22:35","diperbaiki"
"176","Jl. Sunan Gunung Jati KM 16 Segmen 8","uploads/laporan_cirebon_0175.jpg","-6.8742782","108.4179715","2025-08-03 05:58:18","diterima"
"177","Jl. Raya Sumber KM 9 Segmen 6","uploads/laporan_cirebon_0176.jpg","-6.7666835","108.6607742","2024-04-03 09:35:05","diperbaiki"
"178","Jl. Raya Gunung Jati KM 14 Segmen 2","uploads/laporan_cirebon_0177.jpg","-6.6224164","108.4337746","2025-10-14 08:28:05","selesai"
