_id,No,Kode Wilayah Kabupaten / Kota,Nama Kabupaten/Kota,Latitude,Longitude,BANJIR,CUACA EKSTREM,ERUPSI GUNUNG API,GELOMBANG PASANG DAN ABRASI,GEMPABUMI,KEBAKARAN HUTAN DAN LAHAN,KEKERINGAN,TANAH LONGSOR,TSUNAMI
35,35,1217,SAMOSIR,2.558722206000000110037717604427598416805267333984375,98.721290920000001278822310268878936767578125,2,1,0,0,0,11,0,1,0.0
36,36,1218,SERDANG BEDAGAI,3.3671678339999999707288225181400775909423828125,99.0585385300000069719317252747714519500732421875,5,3,0,0,0,1,0,0,0.0
37,37,1219,BATU BARA,3.23423791200000021461846699821762740612030029296875,99.4756244000000009464201866649091243743896484375,1,2,0,0,0,0,0,0,0.0
38,38,1220,PADANG LAWAS UTARA,1.5932562340000000489226295030675828456878662109375,99.7574519300000019939034245908260345458984375,2,0,0,0,0,17,0,0,0.0
39,39,1221,PADANG LAWAS,1.1404036029999999879436245464603416621685028076171875,99.844120849999995925827533937990665435791015625,7,1,0,0,0,10,0,1,0.0
40,40,1222,LABUHANBATU SELATAN,1.83887409100000009942732503986917436122894287109375,100.13053650000000516229192726314067840576171875,3,0,0,0,0,10,0,0,0.0
41,41,1223,LABUHANBATU UTARA,2.333489999999999842117404114105738699436187744140625,99.6377600000000001045918907038867473602294921875,3,2,0,0,0,19,0,0,0.0
42,42,1224,NIAS UTARA,1.31278213499999996116684997105039656162261962890625,97.3554773700000026792622520588338375091552734375,2,0,0,0,0,0,0,0,0.0
43,43,1225,NIAS BARAT,1.0253665830000000536159632247290574014186859130859375,97.4896525799999977834886522032320499420166015625,2,0,0,0,0,0,0,0,0.0
44,44,1271,KOTA MEDAN,3.627728154000000149181914821383543312549591064453125,98.66799792000000479674781672656536102294921875,10,3,0,0,0,0,0,0,0.0
45,45,1272,KOTA PEMATANGSIANTAR,2.9625981530000000674363036523573100566864013671875,99.0589743799999951079371385276317596435546875,1,2,0,0,0,1,0,0,0.0
46,46,1273,KOTA SIBOLGA,1.738364406000000084162593338987790048122406005859375,98.7859055800000049885056796483695507049560546875,1,0,0,0,0,0,0,0,0.0
47,47,1274,KOTA TANJUNG BALAI,2.964415826999999836743882042355835437774658203125,99.794988160000002608285285532474517822265625,4,0,0,0,0,0,0,0,0.0
48,48,1275,KOTA BINJAI,3.599492104999999941838950689998455345630645751953125,98.488711370000004308167262934148311614990234375,4,1,0,0,0,1,0,0,0.0
49,49,1276,KOTA TEBING TINGGI,3.32836024800000007672906576772220432758331298828125,99.1557086499999940087946015410125255584716796875,2,0,0,0,0,0,0,0,0.0
50,50,1277,KOTA PADANG SIDEMPUAN,1.3963120680000000728426812202087603509426116943359375,99.28079476999999997133272700011730194091796875,2,0,0,0,0,4,0,2,0.0
51,51,1278,KOTA GUNUNGSITOLI,1.2650961769999999884106500758207403123378753662109375,97.583088639999999713836587034165859222412109375,2,0,0,0,0,0,2,0,0.0
52,52,1301,PESISIR SELATAN,-1.738282542999999957800127958762459456920623779296875,100.88070229999999583014869131147861480712890625,15,0,0,0,0,0,0,0,0.0
53,53,1302,SOLOK,-0.9624251139999999704599531469284556806087493896484375,100.81872079999999414212652482092380523681640625,2,1,0,0,0,0,0,2,0.0
54,54,1303,SIJUNJUNG,-0.68408577599999997875812596248579211533069610595703125,101.08951089999999339852365665137767791748046875,5,0,0,0,0,3,0,0,0.0
55,55,1304,TANAH DATAR,-0.4605382479999999834063828529906459152698516845703125,100.5860473000000041565726860426366329193115234375,3,0,2,0,0,1,0,0,0.0
56,56,1305,PADANG PARIAMAN,-0.56234210600000000823683876660652458667755126953125,100.2277025000000065801941673271358013153076171875,3,1,0,1,0,0,0,3,0.0
57,57,1306,AGAM,-0.2494298359999999881164711723613436333835124969482421875,100.1685135999999971545548760332167148590087890625,4,2,1,0,0,1,0,2,0.0
58,58,1307,LIMA PULUH KOTA,0.0297823020000000000806483768656107713468372821807861328125,100.565922900000003892273525707423686981201171875,4,0,0,0,0,2,0,2,0.0
59,59,1308,PASAMAN,0.38729210400000002589848691059160046279430389404296875,100.082760100000001557418727315962314605712890625,2,0,0,0,0,0,0,0,0.0
60,60,1309,KEPULAUAN MENTAWAI,-1.515719199999999933226035864208824932575225830078125,99.0011756100000042124520405195653438568115234375,2,0,0,1,0,0,0,0,0.0
61,61,1310,DHARMASRAYA,-1.1309872139999999074433389978366903960704803466796875,101.5541936000000049489244702272117137908935546875,8,1,0,0,0,0,0,0,0.0
62,62,1311,SOLOK SELATAN,-1.4063564509999999518896629524533636868000030517578125,101.2525787000000008220013114623725414276123046875,4,3,0,0,0,0,0,0,0.0
63,63,1312,PASAMAN BARAT,0.20695257000000000235928609981783665716648101806640625,99.6781164199999949460107018239796161651611328125,4,1,0,1,0,0,0,0,0.0
64,64,1371,KOTA PADANG,-0.8957173499999999677356754546053707599639892578125,100.4353542000000061307218857109546661376953125,1,0,0,0,0,0,1,1,0.0
65,65,1372,KOTA SOLOK,-0.78235094500000001982442654480109922587871551513671875,100.63036510000000589570845477283000946044921875,1,0,0,0,0,0,0,0,0.0
66,66,1373,KOTA SAWAHLUNTO,-0.6537715570000000031569697966915555298328399658203125,100.7570309000000037258359952829778194427490234375,1,0,0,0,0,0,0,0,0.0
67,67,1374,KOTA PADANG PANJANG,-0.471194155999999975126257822921616025269031524658203125,100.4037158000000005131369107402861118316650390625,1,0,0,0,0,0,0,0,0.0
68,68,1375,KOTA BUKITTINGGI,-0.300098774000000012573963203976745717227458953857421875,100.3720421999999956597093841992318630218505859375,2,0,0,0,0,0,0,0,0.0
69,69,1376,KOTA PAYAKUMBUH,-0.226071560000000004730935643237899057567119598388671875,100.630980800000003227978595532476902008056640625,1,1,0,0,0,0,0,0,0.0
70,70,1377,KOTA PARIAMAN,-0.607652233000000041585053622839041054248809814453125,100.137212500000003956301952712237834930419921875,1,0,0,0,0,0,0,0,0.0
71,71,1401,KAMPAR,0.3271751640000000183050588020705617964267730712890625,101.07087980000000015934347175061702728271484375,8,2,0,0,0,2,0,0,0.0
72,72,1402,INDRAGIRI HULU,-0.5331908039999999626701310262433253228664398193359375,102.32757390000000441432348452508449554443359375,7,0,0,0,0,1,0,0,0.0
73,73,1403,BENGKALIS,1.4060964760000000950412868405692279338836669921875,101.66334530000000313521013595163822174072265625,1,0,0,0,0,1,0,0,0.0
74,74,1404,INDRAGIRI HILIR,-0.233307529000000013486015859598410315811634063720703125,103.15731460000000652144080959260463714599609375,4,0,0,2,0,1,0,1,0.0
75,75,1405,PELALAWAN,0.2194240580000000051530406608435441739857196807861328125,102.2676239000000038004145608283579349517822265625,1,0,0,0,0,1,0,0,0.0
76,76,1406,ROKAN HULU,0.94008555100000001925053538798238150775432586669921875,100.474806099999995012694853357970714569091796875,6,0,0,0,0,0,0,0,0.0
77,77,1407,ROKAN HILIR,1.77366192800000010976191333611495792865753173828125,100.7450462000000044326952775008976459503173828125,5,0,0,0,0,0,0,0,0.0
78,78,1408,SIAK,0.826470762000000025437884687562473118305206298828125,101.824894999999997935447026975452899932861328125,1,0,0,0,0,0,0,0,0.0
79,79,1409,KUANTAN SINGINGI,-0.47882172899999997373043925108504481613636016845703125,101.5034782999999976027538650669157505035400390625,11,0,0,0,0,0,0,0,0.0
80,80,1410,KEPULAUAN MERANTI,0.9354453449999999836705910638556815683841705322265625,102.7022716999999971676515997387468814849853515625,0,0,0,0,0,1,0,0,0.0
81,81,1471,KOTA PEKANBARU,0.54988953699999998381287014126428402960300445556640625,101.4644363000000026886482373811304569244384765625,8,0,0,0,0,0,0,0,0.0
82,82,1472,KOTA DUMAI,1.7976649540000000371264832210727035999298095703125,101.3116538000000019792423699982464313507080078125,1,0,0,0,0,3,0,0,0.0
83,83,1501,KERINCI,-2.03690691999999984318492352031171321868896484375,101.4694243000000000165528035722672939300537109375,9,1,0,0,0,0,0,0,0.0
84,84,1502,MERANGIN,-2.196200906000000063755805967957712709903717041015625,102.0644190999999949553966871462762355804443359375,3,2,0,0,0,8,0,1,0.0
85,85,1503,SAROLANGUN,-2.309112821999999898281430432689376175403594970703125,102.6645663999999982252120389603078365325927734375,6,0,0,0,0,1,0,0,0.0
86,86,1504,BATANGHARI,-1.7497334120000000989847421806189231574535369873046875,103.0960630999999949608536553569138050079345703125,6,1,0,0,0,19,0,0,0.0
87,87,1505,MUARO JAMBI,-1.6091819409999998935489884388516657054424285888671875,103.74517950000000610089045949280261993408203125,2,1,0,0,0,18,0,0,0.0
88,88,1506,TANJUNG JABUNG BARAT,-1.0710700490000000240087274505640380084514617919921875,103.113310799999993605524650774896144866943359375,2,1,0,0,0,3,0,0,0.0
89,89,1507,TANJUNG JABUNG TIMUR,-1.2198206410000000943227860261686146259307861328125,103.9673523999999957823092699982225894927978515625,2,1,0,0,0,5,0,0,0.0
90,90,1508,BUNGO,-1.5988859980000000859945430420339107513427734375,101.9310013999999995348844095133244991302490234375,5,0,0,0,0,24,0,0,0.0
91,91,1509,TEBO,-1.3102003470000000984185817287652753293514251708984375,102.3612753999999966936229611746966838836669921875,2,0,0,0,0,0,0,0,0.0
92,92,1571,KOTA JAMBI,-1.6170022289999999021148369138245470821857452392578125,103.600223999999997204213286750018596649169921875,1,0,0,0,0,0,0,0,0.0
93,93,1572,KOTA SUNGAI PENUH,-2.113351246000000127622797663207165896892547607421875,101.3411128999999988309355103410780429840087890625,6,0,0,0,0,1,0,1,0.0
94,94,1601,OGAN KOMERING ULU,-4.10066995599999994936979419435374438762664794921875,104.0938297000000005709807737730443477630615234375,8,1,0,0,0,0,0,0,0.0
95,95,1602,OGAN KOMERING ILIR,-3.34317309600000012181908459751866757869720458984375,105.390681000000000722138793207705020904541015625,0,1,0,0,0,5,0,0,0.0
96,96,1603,MUARA ENIM,-3.63583451600000007175594873842783272266387939453125,104.0015652999999957728505250997841358184814453125,10,2,0,0,0,33,0,0,0.0
97,97,1604,LAHAT,-3.830558169000000123816107588936574757099151611328125,103.385324800000006462141755037009716033935546875,2,0,0,0,0,5,0,0,0.0
98,98,1605,MUSI RAWAS,-3.166731276999999789012463224935345351696014404296875,103.1452211000000005469701136462390422821044921875,3,0,0,0,0,4,0,0,0.0
99,99,1606,MUSI BANYUASIN,-2.44408409600000009476161721977405250072479248046875,103.8296720000000021855157683603465557098388671875,10,0,0,0,0,16,0,0,0.0
100,100,1607,BANYUASIN,-2.48786972999999989042407833039760589599609375,104.6680932999999953381120576523244380950927734375,4,3,0,0,0,31,0,0,0.0
101,101,1608,OGAN KOMERING ULU TIMUR,-4.0688727680000003061877578147687017917633056640625,104.5679224000000004934918251819908618927001953125,1,0,0,0,0,1,0,0,0.0
102,102,1609,OGAN KOMERING ULU SELATAN,-4.59024707599999981511018631863407790660858154296875,103.915240699999998241764842532575130462646484375,3,0,0,0,0,0,0,1,0.0
103,103,1610,OGAN ILIR,-3.40997804700000006761229087715037167072296142578125,104.6009030999999964706148602999746799468994140625,13,0,0,0,0,57,0,0,0.0
104,104,1611,EMPAT LAWANG,-3.751943639999999913214878688449971377849578857421875,102.9535968999999937523170956410467624664306640625,1,0,0,0,0,1,0,0,0.0
105,105,1612,PENUKAL ABAB LEMATANG ILIR,-3.209884576999999961088860800373367965221405029296875,103.9882793000000020811057765968143939971923828125,1,0,0,0,0,31,0,0,0.0
106,106,1613,MUSI RAWAS UTARA,-2.7443985749999999512738213525153696537017822265625,102.7358396999999996523911249823868274688720703125,5,0,0,0,0,4,0,0,0.0
107,107,1672,KOTA PAGAR ALAM,-4.1091116010000003910818122676573693752288818359375,103.26267369999999345964170061051845550537109375,2,0,0,0,0,1,0,0,0.0
108,108,1673,KOTA LUBUK LINGGAU,-3.263523992000000095714540293556638062000274658203125,102.8793581999999986464899848215281963348388671875,3,1,0,0,0,0,0,0,0.0
109,109,1674,KOTA PRABUMULIH,-3.452835067000000091042011263198219239711761474609375,104.229388000000000147338141687214374542236328125,3,1,0,0,0,3,0,0,0.0
110,110,1701,BENGKULU SELATAN,-4.34866315900000000027603164198808372020721435546875,103.023729599999995798498275689780712127685546875,1,0,0,0,1,0,0,0,0.0
111,111,1703,BENGKULU UTARA,-3.42692090199999999100555214681662619113922119140625,102.015782599999994317840901203453540802001953125,0,2,0,0,0,0,0,1,0.0
112,112,1704,KAUR,-4.607197049999999904912328929640352725982666015625,103.4075045000000017125785234384238719940185546875,0,0,0,0,0,0,0,1,0.0
113,113,1705,SELUMA,-4.05231264800000001713442543405108153820037841796875,102.6578193999999939478584565222263336181640625,1,0,0,0,0,0,0,0,0.0
114,114,1706,MUKO MUKO,-2.701394375000000014352963262354023754596710205078125,101.4855959000000069636371335946023464202880859375,0,0,0,0,0,1,0,1,0.0
115,115,1707,LEBONG,-3.089926966999999802254706082749180495738983154296875,102.2494770999999929017576505430042743682861328125,1,0,0,0,0,0,0,0,0.0
116,116,1708,KEPAHIANG,-3.62823189900000020458037397474981844425201416015625,102.6416889000000054465999710373580455780029296875,3,0,0,0,0,0,0,0,0.0
117,117,1771,KOTA BENGKULU,-3.8276980040000001537237039883621037006378173828125,102.3126907999999986031980370171368122100830078125,3,1,0,0,0,0,0,1,0.0
118,118,1801,LAMPUNG SELATAN,-5.53277241400000008297865861095488071441650390625,105.500501200000002199885784648358821868896484375,2,5,0,0,0,0,0,0,0.0
119,119,1803,LAMPUNG UTARA,-4.8092384409999997529894244507886469364166259765625,104.8058936000000045396518544293940067291259765625,1,0,0,0,0,0,0,0,0.0
120,120,1804,LAMPUNG BARAT,-5.03174304800000005144511305843479931354522705078125,104.190289599999999836654751561582088470458984375,1,0,0,0,0,0,0,0,0.0
121,121,1805,TULANG BAWANG,-4.37276220900000023306120056076906621456146240234375,105.5319381999999990284777595661580562591552734375,4,6,0,0,0,1,0,0,0.0
122,122,1806,TANGGAMUS,-5.43586340299999992708990248502232134342193603515625,104.675209899999998697239789180457592010498046875,2,1,0,0,0,0,0,0,0.0
123,123,1807,LAMPUNG TIMUR,-5.1366513160000000226546035264618694782257080078125,105.649036800000004632238415069878101348876953125,2,6,0,0,0,2,0,0,0.0
124,124,1808,WAY KANAN,-4.51645229100000022981475922279059886932373046875,104.614490200000005870606401003897190093994140625,1,2,0,0,0,0,0,0,0.0
125,125,1809,PESAWARAN,-5.47349037599999999059718902572058141231536865234375,105.11021859999999605861376039683818817138671875,5,4,0,0,0,0,0,0,0.0
126,126,1810,PRINGSEWU,-5.3308452319999997115473888698033988475799560546875,104.9200153999999969300915836356580257415771484375,1,0,0,0,0,0,0,0,0.0
127,127,1811,MESUJI,-4.023735409000000373680450138635933399200439453125,105.3778750000000030695446184836328029632568359375,3,0,0,0,0,4,0,0,0.0
128,128,1813,PESISIR BARAT,-5.38274193999999983617499310639686882495880126953125,104.205371600000006537811714224517345428466796875,1,0,0,0,0,0,0,0,0.0
129,129,1871,KOTA BANDAR LAMPUNG,-5.41538161099999992842413121252320706844329833984375,105.2669384999999948604454402811825275421142578125,5,0,0,0,0,0,1,0,0.0
130,130,1902,BELITUNG,-2.869945711000000176937874130089767277240753173828125,107.7110315999999983205270837061107158660888671875,0,0,0,0,0,1,0,0,0.0
131,131,1903,BANGKA SELATAN,-2.770932907000000167130338013521395623683929443359375,106.34227160000000367290340363979339599609375,0,1,0,0,0,0,0,0,0.0
132,132,1904,BANGKA TENGAH,-2.430082846999999990345031619654037058353424072265625,106.2433156999999965819370117969810962677001953125,0,1,0,0,0,0,0,0,0.0
133,133,1905,BANGKA BARAT,-1.890861131999999944497403703280724585056304931640625,105.4894531000000057474608183838427066802978515625,1,0,0,0,0,0,0,0,0.0
134,134,1906,BELITUNG TIMUR,-2.907114018000000132957438836456276476383209228515625,108.05237579999999297797330655157566070556640625,0,0,0,0,0,18,0,0,0.0
135,135,1971,KOTA PANGKAL PINANG,-2.11066276499999982974031809135340154170989990234375,106.1134720000000015716068446636199951171875,1,1,0,0,0,0,0,0,0.0
136,136,2101,BINTAN,1.0305236300000000237986341744544915854930877685546875,104.613113400000003139211912639439105987548828125,1,4,0,0,0,32,0,0,0.0
137,137,2102,KARIMUN,0.80326334099999996407603930492768995463848114013671875,103.425794300000006842310540378093719482421875,1,3,0,0,0,12,0,0,0.0
138,138,2103,NATUNA,3.921135366000000121999846669496037065982818603515625,108.2214502000000067027940531261265277862548828125,1,3,0,0,0,9,0,1,0.0
139,139,2104,LINGGA,-0.224555145000000011545893130460171960294246673583984375,104.527090200000003505920176394283771514892578125,0,0,0,0,0,2,0,0,0.0
140,140,2105,KEPULAUAN ANAMBAS,3.15355214499999991772938301437534391880035400390625,106.2317632000000031666786526329815387725830078125,0,0,0,0,0,2,0,0,0.0
141,141,2171,KOTA BATAM,0.96290330700000004160443722867057658731937408447265625,104.06368290000000342843122780323028564453125,0,4,0,0,0,0,0,0,0.0
142,142,2172,KOTA TANJUNG PINANG,0.92028495600000004284169108359492383897304534912109375,104.485313300000001390799297951161861419677734375,1,2,0,0,0,1,0,0,0.0
143,143,3172,KOTA ADM. JAKARTA UTARA,-6.129207509000000442256350652314722537994384765625,106.869079900000002680826582945883274078369140625,3,0,0,0,0,0,0,0,0.0
144,144,3173,KOTA ADM. JAKARTA BARAT,-6.16560886500000027155010684509761631488800048828125,106.7484026000000056910721468739211559295654296875,6,0,0,0,0,0,0,0,0.0
145,145,3174,KOTA ADM. JAKARTA SELATAN,-6.272679215000000141344571602530777454376220703125,106.8100108999999946490788715891540050506591796875,8,3,0,0,0,0,0,0,0.0
146,146,3175,KOTA ADM. JAKARTA TIMUR,-6.255373356999999856498106964863836765289306640625,106.900268699999998034400050528347492218017578125,5,2,0,0,0,0,0,0,0.0
147,147,3201,BOGOR,-6.5599794659999997037402863497845828533172607421875,106.767530800000002955130185000598430633544921875,18,83,0,0,3,0,5,19,0.0
148,148,3202,SUKABUMI,-7.076187588999999888983438722789287567138671875,106.70730770000000120489858090877532958984375,9,14,0,1,2,0,1,10,0.0
149,149,3203,CIANJUR,-7.13371592200000037564677768386900424957275390625,107.1577635999999955629391479305922985076904296875,3,6,0,0,1,0,1,7,0.0
150,150,3204,BANDUNG,-7.09996871099999982135386744630523025989532470703125,107.6108411999999958652551867999136447906494140625,14,10,0,0,2,4,1,2,0.0
151,151,3205,GARUT,-7.3595567160000001649677869863808155059814453125,107.788863899999995510370354168117046356201171875,1,3,0,0,3,1,1,2,0.0
152,152,3206,TASIKMALAYA,-7.49670582700000043274712879792787134647369384765625,108.1412964999999957171894493512809276580810546875,1,4,0,0,1,0,0,3,0.0
153,153,3207,CIAMIS,-7.2905369100000001481021172367036342620849609375,108.428648600000002488741301931440830230712890625,3,12,0,0,1,0,0,4,0.0
154,154,3208,KUNINGAN,-7.00423329699999985820113579393364489078521728515625,108.5603006000000050335074774920940399169921875,2,1,0,0,1,1,1,1,0.0
155,155,3209,CIREBON,-6.7456390620000004076928235008381307125091552734375,108.551564700000000129875843413174152374267578125,13,2,0,0,0,3,2,0,0.0
156,156,3210,MAJALENGKA,-6.81586534499999974201500663184560835361480712890625,108.257811599999996587939676828682422637939453125,1,2,0,0,1,2,1,1,0.0
157,157,3211,SUMEDANG,-6.8250658069999996513388396124355494976043701171875,107.980850000000003774403012357652187347412109375,7,2,0,0,1,0,0,1,0.0
158,158,3212,INDRAMAYU,-6.44878831100000038389907786040566861629486083984375,108.1685913000000027750502340495586395263671875,5,3,0,0,0,0,1,0,0.0
159,159,3213,SUBANG,-6.48303649699999962052743285312317311763763427734375,107.732246000000003505192580632865428924560546875,6,1,0,0,1,4,1,1,0.0
160,160,3214,PURWAKARTA,-6.5950162419999998064668034203350543975830078125,107.432209499999999025021679699420928955078125,1,3,0,0,2,0,1,8,0.0
161,161,3215,KARAWANG,-6.25202345000000025976305551012046635150909423828125,107.35422859999999900537659414112567901611328125,19,14,0,0,0,0,2,0,0.0
162,162,3216,BEKASI,-6.21538866599999995088410287280566990375518798828125,107.1206597999999985404429025948047637939453125,11,2,0,0,0,0,2,1,0.0
163,163,3217,BANDUNG BARAT,-6.897055922999999921785274636931717395782470703125,107.4149527999999946814568829722702503204345703125,3,13,0,0,2,0,1,13,0.0
164,164,3218,PANGANDARAN,-7.6356221350000001990565579035319387912750244140625,108.518849700000004077082849107682704925537109375,1,3,0,0,1,0,1,0,0.0
165,165,3271,KOTA BOGOR,-6.59345311099999964454809742164798080921173095703125,106.799564099999997779377736151218414306640625,5,8,0,0,0,0,1,2,0.0
166,166,3272,KOTA SUKABUMI,-6.939871775000000297950464300811290740966796875,106.9243321000000008780261850915849208831787109375,3,4,0,0,1,0,0,1,0.0
167,167,3273,KOTA BANDUNG,-6.9191351409999999333422238123603165149688720703125,107.6366017999999940002453513443470001220703125,3,0,0,0,1,0,0,1,0.0
168,168,3274,KOTA CIREBON,-6.74199068099999987424553182790987193584442138671875,108.5533290999999991299773682840168476104736328125,3,0,0,0,0,1,1,0,0.0
169,169,3275,KOTA BEKASI,-6.280230911000000304511559079401195049285888671875,106.97568219999999428182491101324558258056640625,4,0,0,0,0,0,0,0,0.0
170,170,3276,KOTA DEPOK,-6.39610215300000017890624803840182721614837646484375,106.8168079999999946494426694698631763458251953125,4,0,0,0,0,0,0,1,0.0
171,171,3277,KOTA CIMAHI,-6.8864951909999998491684891632758080959320068359375,107.543582299999997076156432740390300750732421875,2,1,0,0,2,0,0,0,0.0
172,172,3278,KOTA TASIKMALAYA,-7.36025103299999994277413861709646880626678466796875,108.21935469999999668289092369377613067626953125,1,3,0,0,1,0,0,0,0.0
173,173,3279,KOTA BANJAR,-7.37630200200000007981770977494306862354278564453125,108.5665017000000034386175684630870819091796875,0,0,0,0,1,0,1,0,0.0
174,174,3301,CILACAP,-7.4909628819999998228240656317211687564849853515625,108.8904127999999928988472674973309040069580078125,8,7,0,0,0,3,2,1,0.0
175,175,3302,BANYUMAS,-7.45514516500000024024075173656456172466278076171875,109.175579900000002453452907502651214599609375,2,7,0,0,0,4,2,1,0.0
176,176,3303,PURBALINGGA,-7.32291633999999991289087120094336569309234619140625,109.4073182000000059588273870758712291717529296875,1,1,0,0,0,0,0,0,0.0
177,177,3304,BANJARNEGARA,-7.35188186400000009967925507226027548313140869140625,109.6574193000000008169081411324441432952880859375,0,1,0,0,0,0,0,2,0.0
178,178,3305,KEBUMEN,-7.6551688000000002176648195018060505390167236328125,109.6173600999999990790456649847328662872314453125,2,4,0,0,0,2,2,2,0.0
